Time(sec),VGRF_left_s1,VGRF_left_s2,VGRF_left_s3,VGRF_left_s4,VGRF_left_s5,VGRF_left_s6,VGRF_left_s7,VGRF_left_s8,VGRF_right_s1,VGRF_right_s2,VGRF_right_s3,VGRF_right_s4,VGRF_right_s5,VGRF_right_s6,VGRF_right_s7,VGRF_right_s8,Total_force_left,Total_force_right
0.0100,226.82,86.35,68.42,84.04,12.98,40.26,24.75,22.55,299.86,113.85,100.76,115.5,25.41,37.73,24.2,36.19,566.17,753.5
0.0200,226.82,86.35,70.62,84.04,10.78,40.26,24.75,22.55,304.7,113.85,100.76,113.08,25.41,37.73,22.11,36.19,566.17,753.83
0.0300,226.82,86.35,70.62,84.04,10.78,40.26,24.75,22.55,309.54,113.85,100.76,113.08,23.21,35.2,22.11,33.44,566.17,751.19
0.0400,226.82,86.35,68.42,84.04,10.78,40.26,24.75,22.55,311.96,113.85,100.76,110.55,23.21,35.2,20.13,33.44,563.97,749.1
0.0500,224.84,84.37,68.42,84.04,12.98,40.26,24.75,22.55,316.69,115.94,100.76,110.55,23.21,32.67,20.13,33.44,562.21,753.39
0.0600,224.84,84.37,68.42,81.95,12.98,40.26,24.75,22.55,316.69,115.94,100.76,108.02,23.21,35.2,22.11,33.44,560.12,755.37
0.0700,222.75,84.37,68.42,81.95,12.98,40.26,27.06,22.55,316.69,113.85,100.76,108.02,25.41,32.67,22.11,33.44,560.34,752.95
0.0800,222.75,84.37,68.42,81.95,12.98,40.26,27.06,22.55,319.11,113.85,102.96,108.02,25.41,35.2,22.11,33.44,560.34,760.1
0.0900,222.75,84.37,70.62,81.95,12.98,40.26,27.06,22.55,321.53,115.94,102.96,108.02,25.41,32.67,22.11,33.44,562.54,762.08
0.1000,222.75,82.28,70.62,81.95,12.98,40.26,27.06,24.75,323.95,115.94,102.96,105.49,25.41,32.67,22.11,36.19,562.65,764.72
0.1100,222.75,82.28,70.62,81.95,12.98,40.26,27.06,22.55,328.79,115.94,102.96,105.49,23.21,32.67,20.13,33.44,560.45,762.63
0.1200,222.75,82.28,70.62,81.95,12.98,40.26,27.06,22.55,335.83,115.94,102.96,102.96,23.21,32.67,20.13,33.44,560.45,767.14
0.1300,222.75,84.37,70.62,81.95,12.98,40.26,27.06,22.55,340.45,115.94,102.96,100.54,21.12,30.14,18.15,30.69,562.54,759.99
0.1400,222.75,82.28,70.62,81.95,12.98,40.26,24.75,22.55,347.38,115.94,102.96,98.01,21.12,27.72,18.15,30.69,558.14,761.97
0.1500,222.75,82.28,68.42,79.75,12.98,40.26,24.75,22.55,351.89,115.94,102.96,95.48,19.03,27.72,18.15,27.83,553.74,759
0.1600,222.75,82.28,70.62,79.75,12.98,40.26,24.75,22.55,356.51,115.94,100.76,92.95,19.03,27.72,16.06,27.83,555.94,756.8
0.1700,220.77,82.28,68.42,79.75,10.78,38.06,24.75,22.55,361.13,115.94,100.76,90.53,16.94,25.19,16.06,27.83,547.36,754.38
0.1800,220.77,82.28,68.42,79.75,10.78,38.06,22.55,22.55,365.64,115.94,100.76,88,16.94,25.19,16.06,27.83,545.16,756.36
0.1900,218.68,80.3,68.42,79.75,10.78,38.06,22.55,22.55,370.26,115.94,100.76,85.47,16.94,25.19,16.06,25.08,541.09,755.7
0.2000,216.7,80.3,68.42,79.75,10.78,38.06,22.55,22.55,374.88,115.94,100.76,85.47,14.74,22.66,16.06,25.08,539.11,755.59
0.2100,214.61,78.32,66.22,77.66,10.78,38.06,22.55,22.55,381.7,115.94,100.76,82.94,14.74,22.66,16.06,25.08,530.75,759.88
0.2200,212.63,78.32,66.22,77.66,10.78,38.06,22.55,22.55,388.63,115.94,100.76,82.94,14.74,22.66,14.08,25.08,528.77,764.83
0.2300,210.65,76.34,66.22,77.66,10.78,35.97,22.55,22.55,393.25,115.94,100.76,77.99,14.74,22.66,14.08,22.33,522.72,761.75
0.2400,208.56,76.34,64.02,75.57,10.78,35.97,24.75,22.55,402.6,115.94,100.76,77.99,12.65,22.66,14.08,22.33,518.54,769.01
0.2500,202.51,74.36,61.71,75.57,12.98,35.97,24.75,22.55,409.75,118.14,100.76,75.46,12.65,22.66,14.08,22.33,510.4,775.83
0.2600,196.46,72.38,59.51,77.66,12.98,35.97,27.06,22.55,416.79,118.14,100.76,75.46,12.65,20.13,14.08,22.33,504.57,780.34
0.2700,186.34,68.42,57.31,77.66,12.98,38.06,27.06,22.55,426.14,118.14,100.76,72.93,12.65,20.13,14.08,22.33,490.38,787.16
0.2800,176.22,64.46,55.11,77.66,12.98,38.06,29.26,22.55,433.18,120.34,100.76,72.93,12.65,20.13,14.08,22.33,476.3,796.4
0.2900,164.01,60.5,51.15,77.66,15.18,40.26,31.57,22.55,442.64,120.34,100.76,70.4,12.65,20.13,14.08,19.47,462.88,800.47
0.3000,150.15,54.56,47.19,77.66,15.18,40.26,33.77,24.75,454.41,120.34,102.96,70.4,12.65,20.13,16.06,22.33,443.52,819.28
0.3100,134.2,50.82,43.23,77.66,15.18,42.35,36.08,24.75,463.76,122.54,105.05,70.4,12.65,20.13,16.06,19.47,424.27,830.06
0.3200,116.38,43.34,37.29,77.66,17.27,42.35,36.08,24.75,477.84,122.54,105.05,70.4,12.65,20.13,16.06,19.47,395.12,844.14
0.3300,94.93,37.62,31.46,77.66,17.27,42.35,38.28,24.75,489.61,124.63,107.25,70.4,12.65,20.13,16.06,19.47,364.32,860.2
0.3400,75.35,30.14,25.52,75.57,17.27,42.35,38.28,24.75,504.02,126.83,109.45,72.93,12.65,20.13,16.06,19.47,329.23,881.54
0.3500,55.88,22.55,19.58,71.28,15.18,42.35,40.59,22.55,516.56,131.23,111.65,72.93,12.65,22.66,16.06,22.33,289.96,906.07
0.3600,41.36,16.94,13.75,67.1,15.18,44.44,40.59,22.55,526.68,133.32,113.85,75.46,14.74,20.13,18.15,22.33,261.91,924.66
0.3700,35.09,13.09,9.79,60.72,12.98,44.44,42.79,20.24,536.69,135.52,113.85,75.46,14.74,22.66,18.15,22.33,239.14,939.4
0.3800,31.02,11.22,7.81,54.34,10.78,42.35,42.79,20.24,546.7,137.72,113.85,75.46,14.74,22.66,18.15,22.33,220.55,951.61
0.3900,26.84,9.35,5.83,48.07,10.78,40.26,42.79,18.04,551.76,139.92,113.85,75.46,14.74,22.66,18.15,22.33,201.96,958.87
0.4000,24.75,7.48,5.83,41.8,8.58,38.06,45.1,18.04,556.6,139.92,113.85,75.46,14.74,22.66,18.15,22.33,189.64,963.71
0.4100,22.77,5.61,5.83,35.53,6.49,35.97,45.1,15.73,561.44,139.92,113.85,72.93,14.74,22.66,18.15,22.33,173.03,966.02
0.4200,22.77,5.61,3.85,29.26,4.29,33.88,42.79,15.73,566.17,137.72,113.85,72.93,12.65,20.13,18.15,22.33,158.18,963.93
0.4300,20.68,5.61,3.85,22.99,4.29,31.79,42.79,15.73,571.01,137.72,113.85,72.93,14.74,20.13,18.15,22.33,147.73,970.86
0.4400,20.68,3.74,3.85,16.72,0,27.5,40.59,15.73,575.85,139.92,113.85,72.93,14.74,20.13,18.15,19.47,128.81,975.04
0.4500,18.59,3.74,0,12.54,0,21.12,36.08,13.53,580.58,139.92,113.85,72.93,14.74,20.13,18.15,19.47,105.6,979.77
0.4600,18.59,3.74,0,10.45,0,14.74,29.26,13.53,587.73,139.92,116.05,72.93,14.74,20.13,18.15,19.47,90.31,989.12
0.4700,18.59,3.74,0,6.27,0,8.47,24.75,13.53,592.57,139.92,116.05,72.93,14.74,22.66,20.13,19.47,75.35,998.47
