Time(sec),VGRF_left_s1,VGRF_left_s2,VGRF_left_s3,VGRF_left_s4,VGRF_left_s5,VGRF_left_s6,VGRF_left_s7,VGRF_left_s8,VGRF_right_s1,VGRF_right_s2,VGRF_right_s3,VGRF_right_s4,VGRF_right_s5,VGRF_right_s6,VGRF_right_s7,VGRF_right_s8,Total_force_left,Total_force_right
0.0100,164.01,112.42,37.29,96.8,15.18,106.7,58.63,45.1,185.46,60.72,45.54,57.97,21.12,62.7,52.47,53.02,636.13,539
0.0200,162.03,110.22,37.29,98.89,15.18,109.12,60.94,45.1,183.04,60.72,45.54,55.44,21.12,62.7,52.47,53.02,638.77,534.05
0.0300,162.03,110.22,37.29,98.89,15.18,106.7,60.94,45.1,183.04,58.63,45.54,55.44,21.12,62.7,52.47,53.02,636.35,531.96
0.0400,162.03,110.22,37.29,98.89,15.18,109.12,60.94,45.1,183.04,58.63,45.54,55.44,21.12,62.7,52.47,53.02,638.77,531.96
0.0500,162.03,112.42,35.42,98.89,15.18,109.12,60.94,45.1,183.04,60.72,45.54,55.44,21.12,62.7,50.38,53.02,639.1,531.96
0.0600,162.03,112.42,37.29,98.89,17.27,109.12,60.94,45.1,183.04,58.63,45.54,55.44,21.12,62.7,50.38,53.02,643.06,529.87
0.0700,162.03,112.42,35.42,98.89,15.18,109.12,60.94,45.1,183.04,58.63,45.54,57.97,19.03,60.28,50.38,53.02,639.1,527.89
0.0800,164.01,110.22,37.29,98.89,15.18,106.7,60.94,45.1,185.46,60.72,45.54,55.44,21.12,62.7,50.38,53.02,638.33,534.38
0.0900,164.01,112.42,37.29,98.89,15.18,109.12,60.94,45.1,187.77,60.72,45.54,57.97,21.12,62.7,50.38,53.02,642.95,539.22
0.1000,164.01,112.42,37.29,98.89,15.18,106.7,60.94,45.1,187.77,60.72,47.41,57.97,21.12,60.28,48.4,53.02,640.53,536.69
0.1100,164.01,112.42,37.29,96.8,17.27,106.7,60.94,45.1,190.08,60.72,47.41,57.97,19.03,60.28,48.4,50.16,640.53,534.05
0.1200,164.01,112.42,37.29,96.8,15.18,106.7,58.63,45.1,192.39,62.81,47.41,57.97,19.03,60.28,48.4,50.16,636.13,538.45
0.1300,164.01,112.42,37.29,96.8,15.18,104.39,58.63,45.1,197.12,64.9,47.41,57.97,19.03,60.28,46.42,50.16,633.82,543.29
0.1400,162.03,110.22,37.29,94.6,15.18,104.39,58.63,45.1,201.74,64.9,49.39,57.97,19.03,60.28,46.42,50.16,627.44,549.89
0.1500,160.05,108.13,35.42,92.51,15.18,102.08,56.32,42.79,206.47,67.1,51.26,60.39,19.03,62.7,44.33,50.16,612.48,561.44
0.1600,160.05,106.15,35.42,92.51,15.18,99.66,56.32,42.79,213.51,69.19,51.26,57.97,16.94,60.28,44.33,50.16,608.08,563.64
0.1700,160.05,106.15,35.42,90.42,15.18,99.66,56.32,40.59,218.13,71.28,51.26,60.39,16.94,62.7,42.35,47.41,603.79,570.46
0.1800,160.05,106.15,35.42,88.33,15.18,95.04,56.32,40.59,222.86,71.28,53.13,60.39,16.94,60.28,42.35,47.41,597.08,574.64
0.1900,160.05,104.17,35.42,84.04,15.18,92.62,56.32,38.28,229.79,75.57,55.11,60.39,16.94,62.7,42.35,47.41,586.08,590.26
0.2000,160.05,104.17,35.42,81.95,12.98,90.31,54.12,38.28,234.41,75.57,55.11,62.92,16.94,60.28,40.37,47.41,577.28,593.01
0.2100,162.03,102.19,35.42,77.66,15.18,88,54.12,38.28,239.03,77.66,57.2,62.92,16.94,62.7,42.35,47.41,572.88,606.21
0.2200,162.03,102.19,35.42,75.57,12.98,83.27,54.12,36.08,245.96,79.86,59.4,62.92,16.94,60.28,40.37,47.41,561.66,613.14
